owner_id,tax_id,business_license,updated_at
206b92fb-c1ba-4636-9e82-7f86731473c1,TAX795810,BL-2015,2026-05-05T16:16:53Z
068649d9-26c5-4dca-871b-d50921326620,TAX196209,BL-2009,2026-04-22T21:16:53Z
2461607f-314c-413e-abc8-408a9f91e7be,TAX216306,BL-2015,2026-05-17T01:16:53Z
2312ad7a-5dfa-422a-a97a-4a731d7048a3,TAX784681,BL-2001,2026-05-16T03:16:53Z
d94fcf57-afd5-4ff6-aa66-86f6b36392de,TAX882318,BL-2024,2026-05-01T02:16:53Z
a4be6812-915f-4ff5-a78a-7b4acb1340c6,TAX333883,BL-2003,2026-04-25T05:16:53Z
f667cc49-62fe-49af-9fd9-15a9bac3cc29,TAX907700,BL-2023,2026-05-03T06:16:53Z
0052d59c-70be-4f53-b40d-cb52d7b8843e,TAX431696,BL-2023,2026-05-13T13:16:53Z
588274fe-23c7-4419-aa4c-dc00c47865ce,TAX724426,BL-2006,2026-04-20T22:16:53Z
42f41a3d-148a-440e-9345-dabe165e5dfe,TAX832082,BL-2022,2026-04-18T23:16:53Z
80822335-6f3a-4a6c-bfd4-c80013e2f871,TAX128175,BL-2011,2026-04-19T00:16:53Z
2d6d9739-d6b0-4c9f-90a1-606b57dbc044,TAX157443,BL-2022,2026-04-27T09:16:53Z
38fb3e86-a34f-47c0-a92b-cfb021c13043,TAX400130,BL-2014,2026-04-28T18:16:53Z
03c3d0a9-172a-48fb-b9d4-95ee377c847f,TAX400511,BL-2013,2026-05-15T16:16:53Z
7d0372d8-c161-4bfa-bed6-79222cf36015,TAX382986,BL-2012,2026-05-04T05:16:53Z
1e6ef68b-a40d-4657-ae31-66ff35a135f9,TAX640033,BL-2004,2026-04-30T12:16:53Z
e5b2efab-ff88-4114-8a60-7cb0e2c40b77,TAX639131,BL-2008,2026-05-12T14:16:53Z
da4331af-174e-4797-974d-15b5d61c4521,TAX410364,BL-2003,2026-05-01T20:16:53Z
7cd45ac5-a405-4fd4-a623-b2cea0abd7ab,TAX396067,BL-2000,2026-05-16T22:16:53Z
3322559a-1fa4-4c1e-bb6c-2c9afcf7a6cc,TAX116354,BL-2021,2026-05-15T07:16:53Z
989a4940-ee37-4b9e-8310-de08af783a45,TAX222968,BL-2008,2026-05-15T16:16:53Z
22adebc1-a155-4ae9-bc4b-e98eecde71b2,TAX787840,BL-2020,2026-05-12T17:16:53Z
70f6da3b-5ae2-43a7-bd13-fdf439824515,TAX228095,BL-2020,2026-05-01T19:16:53Z
3f0f1d2e-019f-41b3-a9e5-475e71033aab,TAX107850,BL-2011,2026-04-23T12:16:53Z
19b7e36b-ab0e-45ca-a218-bd2475697c49,TAX757780,BL-2022,2026-05-04T05:16:53Z
2c5d4826-9567-4ac6-9cdc-ddc1645c9549,TAX590126,BL-2021,2026-05-18T00:16:53Z
c36e0dc3-a379-4b1e-b862-71ce4dc9568d,TAX672970,BL-2024,2026-04-22T18:16:53Z
727ff151-0bab-46ab-a907-74c0312795b7,TAX141300,BL-2000,2026-05-09T16:16:53Z
a5da7378-343d-4b7b-a33e-6f68f5f8e0a0,TAX700584,BL-2011,2026-05-01T17:16:53Z
2e1f9a04-9c2f-4e77-8e93-4e4a0f27516e,TAX115306,BL-2002,2026-04-28T13:16:53Z
10599474-5cbd-4a27-8019-4d6d1ac22727,TAX343105,BL-2008,2026-05-13T12:16:53Z
63f1063f-65d2-472a-8656-ab522df90dba,TAX883682,BL-2021,2026-05-16T07:16:53Z
6035dfff-b808-4f85-a3fb-01d6e02cb63c,TAX372620,BL-2013,2026-04-20T03:16:53Z
f49ce7da-30a6-4ecc-8fe0-27fce84dee68,TAX504382,BL-2016,2026-04-24T11:16:53Z
445bc57a-f7d0-4019-84c4-ad741e799afe,TAX490666,BL-2009,2026-05-11T19:16:53Z
f51d774f-d3ac-41a7-bfbf-9ef6e8ec867a,TAX825123,BL-2011,2026-04-23T14:16:53Z
5b6e64a8-3c39-4ffd-9e90-c10ea214c519,TAX921308,BL-2013,2026-05-11T18:16:53Z
945a7bd8-8744-4c7f-ae5f-ecabae562664,TAX181247,BL-2017,2026-04-29T11:16:53Z
b63afc78-bef4-499d-98e7-ea71d2d2cbd7,TAX922393,BL-2010,2026-05-09T03:16:53Z
e9851b9e-5e30-44a9-bee2-90005ad92724,TAX862716,BL-2018,2026-05-10T12:16:53Z
4056b8bc-134f-4169-8182-e93d6efb0de6,TAX946807,BL-2006,2026-05-07T08:16:53Z
9b1d9497-b9c3-4458-b8d8-bd263131312a,TAX542461,BL-2015,2026-05-16T05:16:53Z
6403811d-fa56-416e-8a1c-30be97694c7c,TAX180232,BL-2026,2026-04-29T04:16:53Z
0a356f17-e7a7-4f5a-9e4d-2d18a6e8e7ff,TAX748048,BL-2024,2026-04-18T20:16:53Z
6abe454a-6d34-4b8a-a478-690f7bc6da00,TAX915039,BL-2002,2026-05-06T16:16:53Z
f27ac94c-e10e-4b02-82ca-cb8ea0a68b2c,TAX849458,BL-2022,2026-04-23T00:16:53Z
fb9a4950-3778-4cd0-85f3-f553fbac0aa2,TAX834794,BL-2017,2026-04-25T12:16:53Z
fa1161c9-b6bf-4878-9782-2e81e5075c22,TAX120792,BL-2003,2026-05-10T12:16:53Z
880e14f5-6a7e-4643-8138-6c9122d48837,TAX238978,BL-2012,2026-05-15T19:16:53Z
5bfa8593-4f71-4281-86e5-445e776cb002,TAX278338,BL-2022,2026-04-27T07:16:53Z
